,temp,out/in,date,year,month,day,weekday,hour
16218,32,In,2018-01-11 00:06:00,2018,1,11,3,0
16186,32,In,2018-01-11 02:12:00,2018,1,11,3,2
16176,32,In,2018-01-11 02:44:00,2018,1,11,3,2
16174,32,In,2018-01-11 02:46:00,2018,1,11,3,2
16167,31,In,2018-01-11 02:58:00,2018,1,11,3,2
16165,31,In,2018-01-11 03:06:00,2018,1,11,3,3
16162,31,In,2018-01-11 03:20:00,2018,1,11,3,3
16161,31,In,2018-01-11 03:22:00,2018,1,11,3,3
16159,31,In,2018-01-11 03:31:00,2018,1,11,3,3
16157,30,In,2018-01-11 03:34:00,2018,1,11,3,3
16155,30,In,2018-01-11 03:40:00,2018,1,11,3,3
16153,30,In,2018-01-11 03:44:00,2018,1,11,3,3
16152,30,In,2018-01-11 03:46:00,2018,1,11,3,3
16149,30,In,2018-01-11 03:57:00,2018,1,11,3,3
16148,30,In,2018-01-11 04:02:00,2018,1,11,3,4
16144,30,In,2018-01-11 04:10:00,2018,1,11,3,4
16140,30,In,2018-01-11 04:30:00,2018,1,11,3,4
16139,30,In,2018-01-11 04:34:00,2018,1,11,3,4
16138,30,In,2018-01-11 04:37:00,2018,1,11,3,4
16133,30,In,2018-01-11 05:06:00,2018,1,11,3,5
16127,30,In,2018-01-11 05:46:00,2018,1,11,3,5
16122,30,In,2018-01-11 06:02:00,2018,1,11,3,6
16121,30,In,2018-01-11 06:08:00,2018,1,11,3,6
16119,30,In,2018-01-11 06:13:00,2018,1,11,3,6
16118,30,In,2018-01-11 06:16:00,2018,1,11,3,6
16117,30,In,2018-01-11 06:20:00,2018,1,11,3,6
16115,30,In,2018-01-11 06:22:00,2018,1,11,3,6
16108,30,In,2018-01-11 06:43:00,2018,1,11,3,6
16107,30,In,2018-01-11 06:51:00,2018,1,11,3,6
16105,30,In,2018-01-11 06:53:00,2018,1,11,3,6
16103,30,In,2018-01-11 06:59:00,2018,1,11,3,6
16101,30,In,2018-01-11 07:03:00,2018,1,11,3,7
16099,30,In,2018-01-11 07:07:00,2018,1,11,3,7
16096,30,In,2018-01-11 07:15:00,2018,1,11,3,7
16094,30,In,2018-01-11 07:19:00,2018,1,11,3,7
16092,30,In,2018-01-11 07:22:00,2018,1,11,3,7
16091,30,In,2018-01-11 07:25:00,2018,1,11,3,7
16087,30,In,2018-01-11 07:29:00,2018,1,11,3,7
16085,30,In,2018-01-11 07:31:00,2018,1,11,3,7
16082,30,In,2018-01-11 07:37:00,2018,1,11,3,7
16081,30,In,2018-01-11 07:39:00,2018,1,11,3,7
16079,30,In,2018-01-11 07:46:00,2018,1,11,3,7
16077,30,In,2018-01-11 07:48:00,2018,1,11,3,7
16074,30,In,2018-01-11 07:53:00,2018,1,11,3,7
16072,30,In,2018-01-11 07:55:00,2018,1,11,3,7
16071,30,In,2018-01-11 07:59:00,2018,1,11,3,7
16069,30,In,2018-01-11 08:01:00,2018,1,11,3,8
16067,29,In,2018-01-11 08:03:00,2018,1,11,3,8
16063,30,In,2018-01-11 08:16:00,2018,1,11,3,8
16058,30,In,2018-01-11 08:29:00,2018,1,11,3,8
16057,30,In,2018-01-11 08:32:00,2018,1,11,3,8
16056,30,In,2018-01-11 08:36:00,2018,1,11,3,8
16054,30,In,2018-01-11 08:39:00,2018,1,11,3,8
16048,30,In,2018-01-11 09:02:00,2018,1,11,3,9
16047,30,In,2018-01-11 09:32:00,2018,1,11,3,9
16046,30,In,2018-01-11 09:38:00,2018,1,11,3,9
16043,30,In,2018-01-11 09:49:00,2018,1,11,3,9
16030,30,In,2018-01-11 10:17:00,2018,1,11,3,10
16026,30,In,2018-01-11 10:24:00,2018,1,11,3,10
15991,30,In,2018-01-11 11:50:00,2018,1,11,3,11
