,age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
15912,37,Private,214738,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K
23197,25,Private,431307,10th,6,Married-civ-spouse,Protective-serv,Wife,Black,Female,0,0,50,United-States,<=50K
5146,32,Private,347112,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,45,United-States,<=50K
42083,35,Private,222989,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,30,United-States,<=50K
18810,23,Private,449432,Some-college,10,Never-married,Adm-clerical,Own-child,White,Male,0,0,40,United-States,<=50K
42879,31,State-gov,440129,Some-college,10,Divorced,Protective-serv,Not-in-family,White,Male,0,0,40,United-States,>50K
23153,47,State-gov,187581,Assoc-voc,11,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,48,United-States,>50K
17690,30,Private,37646,Some-college,10,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,<=50K
2116,71,Self-emp-inc,45741,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,20051,0,30,United-States,>50K
33981,42,Self-emp-inc,23510,Masters,14,Divorced,Exec-managerial,Unmarried,Asian-Pac-Islander,Male,0,2201,60,India,>50K
31915,26,Private,152452,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,50,United-States,<=50K
18803,27,Private,169631,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Female,0,0,40,United-States,<=50K
21523,37,Private,190964,HS-grad,9,Separated,Exec-managerial,Own-child,White,Male,0,0,40,United-States,<=50K
4246,37,Private,110013,Assoc-voc,11,Divorced,Sales,Not-in-family,White,Female,0,0,40,United-States,<=50K
30633,27,Private,33429,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,<=50K
42863,36,Private,348960,HS-grad,9,Never-married,Tech-support,Not-in-family,White,Male,0,0,50,United-States,<=50K
8262,38,Private,278403,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,48,United-States,<=50K
29382,19,Self-emp-not-inc,194205,Some-college,10,Never-married,Other-service,Own-child,White,Female,0,0,40,Mexico,<=50K
21076,25,Private,169905,Assoc-voc,11,Never-married,Sales,Not-in-family,White,Male,27828,0,40,United-States,>50K
40482,34,Self-emp-not-inc,156809,Some-college,10,Never-married,Craft-repair,Not-in-family,White,Male,0,1504,60,United-States,<=50K
14700,22,Private,408385,10th,6,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,40,United-States,<=50K
17637,30,Private,272451,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
18910,18,Private,127388,12th,8,Never-married,Other-service,Not-in-family,White,Female,0,0,25,United-States,<=50K
2997,36,Private,37522,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,15024,0,50,United-States,>50K
11019,40,Private,245073,7th-8th,4,Never-married,Other-service,Not-in-family,White,Male,0,0,20,United-States,<=50K
21725,41,Private,444743,HS-grad,9,Divorced,Tech-support,Unmarried,White,Female,0,0,40,United-States,<=50K
12313,22,Private,113588,Some-college,10,Never-married,Other-service,Own-child,White,Female,0,1741,30,United-States,<=50K
5218,57,Private,174662,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
11225,23,Private,84726,Assoc-acdm,12,Married-civ-spouse,Farming-fishing,Wife,White,Female,0,0,45,Germany,<=50K
39879,42,Private,98427,HS-grad,9,Married-civ-spouse,Other-service,Wife,Black,Female,0,0,35,United-States,<=50K
27885,42,Private,117319,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1672,40,United-States,<=50K
31987,31,Private,159123,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,60,United-States,>50K
44859,35,Private,106967,Masters,14,Never-married,Sales,Not-in-family,White,Female,0,0,40,United-States,<=50K
10684,55,Private,92847,7th-8th,4,Widowed,Priv-house-serv,Unmarried,White,Female,0,0,30,United-States,<=50K
29207,21,Private,372636,HS-grad,9,Never-married,Sales,Own-child,Black,Male,0,0,40,United-States,<=50K
13783,31,Local-gov,400535,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,72,United-States,<=50K
12959,28,Private,181597,HS-grad,9,Never-married,Craft-repair,Own-child,Black,Male,0,0,40,United-States,<=50K
43341,28,Private,340408,Some-college,10,Divorced,Craft-repair,Not-in-family,White,Male,0,0,46,United-States,<=50K
1961,57,Private,255406,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Female,0,1980,44,United-States,<=50K
10248,54,Local-gov,277777,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,3103,0,40,United-States,>50K
41563,35,Private,61518,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,35,United-States,<=50K
14685,25,Private,227465,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States,<=50K
16358,52,Self-emp-not-inc,173839,10th,6,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,United-States,<=50K
26565,28,Private,215014,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,50,United-States,<=50K
10481,38,Private,216385,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,0,1740,40,Haiti,<=50K
27323,29,Private,369114,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
13098,35,Private,148906,Some-college,10,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,<=50K
42739,19,Private,121788,Some-college,10,Never-married,Sales,Not-in-family,White,Female,0,0,30,United-States,<=50K
21795,35,Local-gov,204277,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,<=50K
36158,44,Private,109273,Some-college,10,Never-married,Craft-repair,Not-in-family,White,Male,0,0,38,United-States,<=50K
25127,23,Private,420973,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,<=50K
5057,31,Local-gov,85057,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,Amer-Indian-Eskimo,Female,0,0,40,United-States,>50K
24613,35,Self-emp-not-inc,195744,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,0,0,50,United-States,<=50K
23053,36,Self-emp-not-inc,313853,Bachelors,13,Divorced,Other-service,Unmarried,Black,Male,0,0,45,United-States,>50K
6450,28,Local-gov,299249,HS-grad,9,Divorced,Protective-serv,Not-in-family,White,Female,0,0,40,United-States,<=50K
15415,25,Private,344991,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
43377,31,Local-gov,189843,HS-grad,9,Divorced,Protective-serv,Not-in-family,White,Male,0,0,47,United-States,>50K
