,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,32,24,33,28,34,34,34,33,34,34,28,33,27,28,28,27,25,28,24,26,24,23,23,23
1,24,32,24,33,33,33,33,33,33,33,33,27,32,27,26,25,24,24,23,24,24,24,23,23
2,26,24,31,32,32,33,33,33,33,33,27,31,27,27,26,25,24,25,24,24,24,23,23,23
3,26,26,26,33,32,33,33,33,32,32,32,27,27,26,26,25,25,25,26,23,23,23,23,23
4,31,32,32,32,33,32,32,32,32,32,32,33,31,32,26,26,24,26,24,25,24,23,22,23
5,31,32,32,32,34,34,32,32,32,31,33,31,32,26,26,26,25,24,26,24,25,24,23,23
6,31,32,33,34,34,33,35,34,33,34,35,33,31,30,27,31,24,23,23,23,24,23,23,23
7,32,32,33,35,34,36,34,36,35,33,32,34,34,31,31,27,25,25,22,23,23,22,23,23
8,33,33,30,34,35,36,34,33,31,35,29,36,33,38,31,31,25,30,25,25,23,24,23,25
9,34,35,33,35,36,37,36,35,35,34,32,30,28,32,34,31,31,26,25,26,25,24,25,24
10,33,32,34,36,36,37,36,37,37,37,36,36,31,35,30,30,26,30,25,25,23,22,24,23
11,33,34,36,36,36,36,37,37,37,37,37,36,34,31,34,30,30,30,26,25,25,25,23,25
12,32,31,33,37,36,37,37,36,37,37,37,36,31,29,31,31,31,30,26,30,25,25,25,23
13,33,34,33,35,36,36,36,36,36,37,37,33,34,29,35,30,30,30,30,25,25,25,23,22
14,33,31,32,36,37,36,36,36,37,37,37,36,31,34,31,34,31,30,25,25,25,25,24,24
15,33,33,33,35,37,36,35,36,36,37,36,35,34,29,35,32,30,31,30,25,25,25,25,25
16,32,30,34,36,36,36,36,36,36,36,36,35,35,33,32,35,30,30,30,30,25,25,25,25
17,33,33,31,35,36,36,36,36,36,36,37,37,34,29,29,32,30,30,30,26,30,25,25,25
18,31,30,27,33,36,36,36,36,36,36,36,36,34,33,30,34,30,29,25,29,26,25,25,25
19,31,32,31,34,35,36,36,36,36,36,36,36,34,29,27,31,30,29,30,30,30,30,26,25
20,30,33,34,33,37,36,36,36,36,36,36,35,34,33,30,35,31,32,30,29,30,30,30,30
21,30,31,32,33,36,36,36,36,36,36,36,36,35,33,26,32,33,30,31,30,29,30,30,30
22,28,27,30,31,33,33,35,34,36,36,36,35,34,32,30,33,31,31,29,29,29,30,25,26
23,27,29,28,31,31,32,32,32,32,33,34,32,27,28,31,31,30,30,29,30,26,25,24,24
24,26,29,30,28,29,30,30,28,29,29,30,30,29,31,31,29,29,29,25,25,24,24,22,24
25,24,27,29,28,28,29,29,30,30,30,31,31,30,29,28,29,29,25,29,23,24,23,23,24
26,30,27,24,26,29,25,28,28,28,28,28,28,29,30,25,29,23,24,24,21,21,22,23,22
27,29,29,28,24,25,28,25,29,29,29,29,29,29,29,30,29,23,22,23,20,23,22,22,23
28,32,32,30,28,27,28,28,25,26,29,25,24,26,30,25,29,24,23,23,23,23,28,27,28
29,32,32,31,30,30,30,29,29,28,24,23,24,24,25,24,25,29,24,29,29,28,30,30,30
30,32,32,31,31,31,31,32,31,30,28,29,30,29,29,30,31,32,32,31,33,31,30,31,30
31,31,31,31,31,30,31,30,30,29,29,29,28,28,29,31,31,30,31,31,31,30,30,30,31
